Student_ID,Study_Hours,Social_Media_Hours,Sleep_Hours,Attendance,Assignment_Score,Final_Grade
1,4,7,6,77,78,79
2,4,3,6,83,84,85
3,7,7,7,92,93,94
4,5,7,4,71,72,73
5,8,6,4,50,51,52
6,7,4,4,50,51,52
7,1,7,6,73,74,75
8,5,1,4,53,54,55
9,5,5,8,69,70,71
10,4,1,6,74,75,76
11,3,8,7,89,90,91
12,6,1,5,96,97,98
13,6,8,4,89,90,91
14,8,3,6,100,101,102
15,2,4,9,81,82,83
16,5,2,4,65,66,67
17,3,2,5,60,61,62
18,8,2,5,96,97,98
19,4,4,9,91,92,93
20,4,7,6,51,52,53
21,2,6,6,65,66,67
22,8,2,4,77,78,79
23,3,7,5,90,91,92
24,5,4,8,57,58,59
25,4,4,9,85,86,87
26,1,4,8,56,57,58
27,6,4,8,100,101,102
28,8,8,8,62,63,64
29,5,1,8,85,86,87
30,5,3,5,89,90,91
31,6,4,8,58,59,60
32,7,7,9,53,54,55
33,4,7,5,82,83,84
34,5,5,7,89,90,91
35,2,1,4,93,94,95
36,5,2,7,67,68,69
37,6,2,7,86,87,88
38,7,7,8,54,55,56
39,7,7,9,100,101,102
40,2,4,6,96,97,98
41,6,1,9,84,85,86
42,7,5,9,92,93,94
43,2,4,5,76,77,78
44,7,7,5,77,78,79
45,3,4,7,69,70,71
46,8,1,6,76,77,78
47,2,5,6,67,68,69
48,1,1,7,87,88,89
49,7,2,5,88,89,90
50,7,1,6,86,87,88
51,3,7,9,66,67,68
52,6,2,6,96,97,98
53,2,2,7,82,83,84
54,6,8,8,98,99,100
55,4,6,8,72,73,74
56,1,2,7,88,89,90
57,5,7,8,68,69,70
58,4,3,7,98,99,100
59,4,6,5,86,87,88
60,6,8,9,63,64,65
61,5,4,4,88,89,90
62,5,3,7,60,61,62
63,1,2,9,89,90,91
64,5,6,4,57,58,59
65,7,1,4,83,84,85
66,5,5,4,88,89,90
67,2,3,6,86,87,88
68,8,8,9,50,51,52
69,6,5,4,97,98,99
70,6,6,4,72,73,74
71,6,1,6,60,61,62
72,1,8,6,73,74,75
73,2,5,4,59,60,61
74,6,6,6,59,60,61
75,5,4,5,72,73,74
76,1,4,7,57,58,59
77,3,1,5,95,96,97
78,6,6,6,85,86,87
79,7,3,4,98,99,100
80,7,4,6,80,81,82
81,5,3,5,71,72,73
82,4,1,7,56,57,58
83,8,3,5,82,83,84
84,5,2,8,100,101,102
85,3,1,4,77,78,79
86,5,2,4,54,55,56
87,1,7,8,74,75,76
88,7,1,7,99,100,101
89,4,8,4,56,57,58
90,6,5,8,51,52,53
91,1,1,8,76,77,78
92,7,7,6,88,89,90
93,2,1,5,73,74,75
94,3,8,7,53,54,55
95,1,7,7,59,60,61
96,4,3,6,73,74,75
97,6,6,7,74,75,76
98,2,2,8,63,64,65
99,5,5,5,72,73,74
100,8,4,8,64,65,66
101,2,6,7,61,62,63
102,6,2,9,79,80,81
103,3,8,6,74,75,76
104,1,7,7,75,76,77
105,1,2,8,55,56,57
106,4,5,8,93,94,95
107,7,2,7,60,61,62
108,7,3,5,76,77,78
109,5,8,9,67,68,69
110,8,8,4,92,93,94
111,1,2,7,82,83,84
112,8,1,9,72,73,74
113,2,1,7,87,88,89
114,8,1,7,93,94,95
115,5,2,6,66,67,68
116,3,1,9,96,97,98
117,8,5,5,100,101,102
